,Quarter,Tm,Detail,DAL,SFO
0,1.0,49ers,Bruce Gossett 16 yard field goal,0,3
1,2.0,Cowboys,Mike Clark 21 yard field goal,3,3
2,3.0,Cowboys,Duane Thomas 13 yard rush (Mike Clark kick),10,3
3,3.0,Cowboys,Walt Garrison 5 yard pass from Craig Morton (Mike Clark kick),17,3
4,3.0,49ers,Dick Witcher 26 yard pass from John Brodie (Bruce Gossett kick),17,10
