,Quarter,Tm,Detail,TAM,GNB
0,1.0,Packers,Phil Epps 90 yard punt return (Jan Stenerud kick),0,7
1,1.0,Packers,Jessie Clark 75 yard pass from Lynn Dickey (Jan Stenerud kick),0,14
2,2.0,Packers,Harlan Huckleby 1 yard rush (Jan Stenerud kick),0,21
3,2.0,Buccaneers,Hugh Green 21 yard interception return (Bill Capece kick),7,21
4,2.0,Packers,Paul Coffman 1 yard pass from Lynn Dickey (Jan Stenerud kick),7,28
5,2.0,Packers,Mike Douglass 35 yard defensive fumble return (Jan Stenerud kick),7,35
6,2.0,Packers,John Anderson 27 yard interception return (Jan Stenerud kick),7,42
7,2.0,Packers,James Lofton 57 yard pass from Lynn Dickey (Jan Stenerud kick),7,49
8,4.0,Packers,Jan Stenerud 19 yard field goal,7,52
9,4.0,Packers,Jan Stenerud 27 yard field goal,7,55
10,4.0,Buccaneers,James Owens 2 yard rush (Bill Capece kick),14,55
