,Quarter,Time,Tm,Detail,JAX,SDG
0,1.0,10:14,Chargers,Antonio Gates 1 yard pass from Drew Brees (Nate Kaeding kick),0,7
1,1.0,4:03,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),0,14
2,2.0,9:23,Chargers,Antonio Gates 11 yard pass from Drew Brees (Nate Kaeding kick),0,21
3,2.0,1:33,Jaguars,Chris Fuamatu-Ma'afala 1 yard rush (Josh Scobee kick),7,21
4,3.0,7:15,Chargers,Nate Kaeding 21 yard field goal,7,24
5,3.0,0:46,Chargers,Nate Kaeding 28 yard field goal,7,27
6,4.0,10:42,Jaguars,Byron Leftwich 2 yard rush (Josh Scobee kick),14,27
7,4.0,9:54,Chargers,Jesse Chatman 41 yard rush (Nate Kaeding kick),14,34
8,4.0,7:21,Jaguars,Cortez Hankton 7 yard pass from Byron Leftwich (Josh Scobee kick),21,34
