,Quarter,Tm,Detail,ATL,PHI
0,1.0,Eagles,Luis Zendejas 28 yard field goal,0,3
1,2.0,Falcons,Michael Haynes 19 yard pass from Chris Miller (Greg Davis kick),7,3
2,2.0,Eagles,Keith Byars 1 yard rush (Luis Zendejas kick),7,10
3,3.0,Falcons,Floyd Dixon 17 yard pass from Chris Miller,13,10
4,3.0,Falcons,Mike Gann 36 yard defensive fumble return (Greg Davis kick),20,10
5,4.0,Eagles,Cris Carter 4 yard pass from Randall Cunningham (Luis Zendejas kick),20,17
6,4.0,Eagles,Cris Carter 50 yard pass from Randall Cunningham (Luis Zendejas kick),20,24
7,4.0,Falcons,Michael Haynes 49 yard pass from Chris Miller (Greg Davis kick),27,24
