,Quarter,Time,Tm,Detail,WAS,TAM
0,1.0,,Redskins,Andre Collins 92 yard interception return (Chip Lohmiller kick),7,0
1,1.0,,Buccaneers,Michael Husted 53 yard field goal,7,3
2,2.0,,Buccaneers,Errict Rhett 2 yard rush (Michael Husted kick),7,10
3,2.0,,Redskins,Desmond Howard 81 yard pass from Heath Shuler (Chip Lohmiller kick),14,10
4,2.0,,Buccaneers,Anthony McDowell 13 yard pass from Craig Erickson (Michael Husted kick),14,17
5,2.0,,Redskins,Olanda Truitt 77 yard pass from Heath Shuler (Chip Lohmiller kick),21,17
6,4.0,,Buccaneers,Michael Husted 22 yard field goal,21,20
7,4.0,,Buccaneers,Craig Erickson 1 yard rush (pass failed),21,26
