,Quarter,Tm,Detail,CLE,NYG
0,1.0,Giants,Matt Bahr 44 yard field goal,0,3
1,2.0,Giants,Matt Bahr 48 yard field goal,0,6
2,2.0,Giants,Rodney Hampton 28 yard rush (Matt Bahr kick),0,13
3,3.0,Browns,Matt Stover 30 yard field goal,3,13
4,4.0,Browns,Kevin Mack 7 yard pass from Bernie Kosar (Matt Stover kick),10,13
