,Quarter,Tm,Detail,BOS,SIS
0,1,Stapletons,Ken Strong 60 yard rush (Ken Strong kick),0,7
1,2,Bulldogs,Tony Latone 4 yard rush,6,7
2,3,Stapletons,Frank Briante 22 yard rush (Ken Strong kick),6,14
