,Quarter,Tm,Detail,GNB,BOS
0,1.0,Packers,Lou Brock 19 yard rush (Don Hutson kick),7,0
1,2.0,Packers,Bernie Crimmins 12 yard interception return (Don Hutson kick),14,0
2,2.0,Packers,Don Hutson 10 yard pass from Irv Comp (Don Hutson kick),21,0
3,4.0,Packers,Lou Brock 10 yard rush (Don Hutson kick),28,0
