,Quarter,Time,Tm,Detail,ARI,ATL
0,1,6:28,Falcons,Bert Emanuel 85 yard pass from Jeff George (Norm Johnson kick),0,7
1,2,6:28,Cardinals,Greg Davis 22 yard field goal,3,7
2,3,6:28,Falcons,Norm Johnson 24 yard field goal,3,10
3,4,6:28,Cardinals,Greg Davis 49 yard field goal,6,10
