,Quarter,Tm,Detail,SIS,BKN
0,1,Dodgers,Jack Grossman 5 yard pass from Benny Friedman,0,6
1,2,Stapletons,Doc Ledbetter 3 yard rush (Dick Frahm kick),7,6
