,Quarter,Tm,Detail,CLE,CIN
0,1.0,Bengals,Lewis Billups 26 yard defensive fumble return (Jim Breech kick),0,7
1,1.0,Browns,Matt Bahr 27 yard field goal,3,7
2,2.0,Bengals,Jim Breech 34 yard field goal,3,10
3,2.0,Bengals,Ickey Woods 1 yard rush (Jim Breech kick),3,17
4,2.0,Browns,Brian Brennan 11 yard pass from Mike Pagel (Matt Bahr kick),10,17
5,2.0,Bengals,Ickey Woods 1 yard rush (Jim Breech kick),10,24
6,4.0,Browns,Kevin Mack 3 yard rush (Matt Bahr kick),17,24
