,Quarter,Tm,Detail,DEN,CLE
0,2.0,Broncos,Riley Odoms 25 yard pass from Craig Morton (Jim Turner kick),7,0
1,3.0,Broncos,Jim Turner 44 yard field goal,10,0
2,3.0,Browns,Mike Pruitt 1 yard rush (Don Cockroft kick),10,7
3,3.0,Broncos,Jim Turner 20 yard field goal,13,7
4,4.0,Broncos,Lonnie Perrin 2 yard rush,19,7
