,Quarter,Tm,Detail,CLE,WAS
0,1.0,Browns,Ed Modzelewski 6 yard rush (Lou Groza kick),7,0
1,1.0,Redskins,Dale Atkeson 15 yard rush (Vic Janowicz kick),7,7
2,2.0,Browns,Lou Groza 41 yard field goal,10,7
3,3.0,Browns,Ed Modzelewski 5 yard pass from Otto Graham (Lou Groza kick),17,7
4,3.0,Browns,Walt Michaels 25 yard interception return (Lou Groza kick),24,7
5,4.0,Redskins,Norb Hecker 5 yard pass from Eddie LeBaron (Vic Janowicz kick),24,14
