,Quarter,Tm,Detail,RAM,PHI
0,1.0,Eagles,Steve Van Buren 10 yard rush (Roy Zimmerman kick),0,7
1,2.0,Rams,Lou Zontini 53 yard pass from Albie Reisz,6,7
2,2.0,Eagles,Jack Hinkle 4 yard rush (Roy Zimmerman kick),6,14
3,2.0,Eagles,Ben Kish 45 yard pass from Roy Zimmerman,6,20
4,4.0,Eagles,Ernie Steele 10 yard rush,6,26
5,4.0,Rams,Ray Hamilton 70 yard pass from Albie Reisz (Lou Zontini kick),13,26
