,Quarter,Time,Tm,Detail,SEA,IND
0,1.0,,Colts,Cary Blanchard 46 yard field goal,0,3
1,1.0,,Seahawks,Lamar Smith 3 yard rush (Todd Peterson kick),7,3
2,2.0,,Seahawks,Warren Moon 1 yard rush (Todd Peterson kick),14,3
3,2.0,,Seahawks,Todd Peterson 27 yard field goal,17,3
4,4.0,,Seahawks,Mike Pritchard 20 yard pass from Warren Moon (Todd Peterson kick),24,3
5,4.0,,Seahawks,Chris Warren 35 yard rush (Todd Peterson kick),31,3
