,Quarter,Time,Tm,Detail,NYJ,NWE
0,1.0,9:47,Jets,Laveranues Coles 32 yard pass from Chad Pennington (John Hall kick),7,0
1,1.0,9:33,Patriots,Kevin Faulk 87 yard kickoff return (Adam Vinatieri kick),7,7
2,1.0,2:55,Jets,Santana Moss 11 yard pass from Chad Pennington (John Hall kick),14,7
3,2.0,9:49,Patriots,Adam Vinatieri 49 yard field goal,14,10
4,2.0,4:24,Jets,John Hall 39 yard field goal,17,10
5,3.0,6:19,Patriots,Christian Fauria 6 yard pass from Tom Brady (Adam Vinatieri kick),17,17
6,3.0,1:50,Jets,John Hall 23 yard field goal,20,17
7,4.0,8:45,Jets,Wayne Chrebet 15 yard pass from Chad Pennington (John Hall kick),27,17
8,4.0,2:31,Jets,John Hall 43 yard field goal,30,17
