,Quarter,Tm,Detail,CIN,PIT
0,2.0,Steelers,Rich Erenberg 31 yard rush (Gary Anderson kick),0,7
1,2.0,Steelers,Dwayne Woodruff 42 yard interception return (Gary Anderson kick),0,14
2,2.0,Bengals,Stanford Jennings 38 yard pass from Turk Schonert (Jim Breech kick),7,14
3,2.0,Bengals,Jim Breech 32 yard field goal,10,14
4,3.0,Steelers,Gary Anderson 31 yard field goal,10,17
5,3.0,Steelers,Weegie Thompson 23 yard pass from David Woodley (Gary Anderson kick),10,24
6,4.0,Bengals,Turk Schonert 1 yard rush (Jim Breech kick),17,24
7,4.0,Steelers,Walter Abercrombie 5 yard rush (Gary Anderson kick),17,31
8,4.0,Steelers,Donnie Shell 52 yard interception return (Gary Anderson kick),17,38
