,Quarter,Time,Tm,Detail,SDG,ARI
0,1.0,,Cardinals,Adrian Murrell 4 yard rush (Chris Jacke kick),0,7
1,2.0,,Cardinals,Chris Jacke 37 yard field goal,0,10
2,2.0,,Chargers,John Carney 31 yard field goal,3,10
3,3.0,,Cardinals,Chris Jacke 36 yard field goal,3,13
4,4.0,,Chargers,John Carney 26 yard field goal,6,13
5,4.0,0:22,Chargers,Ryan Thelwell 30 yard pass from Craig Whelihan (John Carney kick),13,13
6,4.0,0:03,Cardinals,Chris Jacke 52 yard field goal,13,16
