,Quarter,Tm,Detail,DET,DEN
0,1.0,Broncos,John Elway 3 yard rush (Rich Karlis kick),0,7
1,1.0,Broncos,Rich Karlis 28 yard field goal,0,10
2,1.0,Broncos,Sammy Winder 2 yard rush (Rich Karlis kick),0,17
3,2.0,Broncos,Vance Johnson 35 yard pass from John Elway (Rich Karlis kick),0,24
4,4.0,Broncos,John Elway 7 yard rush (Rich Karlis kick),0,31
5,4.0,Broncos,Rich Karlis 29 yard field goal,0,34
