,Quarter,Tm,Detail,SFO,NOR
0,1.0,Saints,Morten Andersen 33 yard field goal,0,3
1,2.0,Saints,Derek Brown 1 yard rush (Morten Andersen kick),0,10
2,2.0,49ers,Mike Cofer 34 yard field goal,3,10
3,3.0,49ers,Marc Logan 23 yard rush (Mike Cofer kick),10,10
4,3.0,Saints,Morten Andersen 39 yard field goal,10,13
5,4.0,49ers,Mike Cofer 30 yard field goal,13,13
6,4.0,Saints,Morten Andersen 39 yard field goal,13,16
