,Quarter,Time,Tm,Detail,MIA,IND
0,1.0,,Dolphins,Joe Nedney 24 yard field goal,3,0
1,2.0,,Colts,Ken Dilger 1 yard pass from Jim Harbaugh (Cary Blanchard kick),3,7
2,2.0,,Dolphins,Joe Nedney 39 yard field goal,6,7
3,4.0,,Colts,Cary Blanchard 18 yard field goal,6,10
