,Quarter,Tm,Detail,TAM,MIN
0,2.0,Vikings,Fuad Reveiz 26 yard field goal,0,3
1,2.0,Vikings,"Safety, Erickson called for intentional grounding in end zone",0,5
2,2.0,Vikings,Barry Word 1 yard rush (Fuad Reveiz kick),0,12
3,4.0,Vikings,Fuad Reveiz 25 yard field goal,0,15
