,Quarter,Time,Tm,Detail,DET,GNB
0,1.0,11:27,Packers,James Jones 47 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
1,1.0,7:20,Packers,John Kuhn 1 yard pass from Aaron Rodgers (Mason Crosby kick),0,14
2,2.0,7:22,Packers,Mason Crosby 46 yard field goal,0,17
3,2.0,1:56,Packers,Mason Crosby 28 yard field goal,0,20
4,2.0,0:05,Packers,Mason Crosby 31 yard field goal,0,23
5,3.0,7:43,Packers,Mason Crosby 26 yard field goal,0,26
