,Quarter,Tm,Detail,SFO,DAL
0,1.0,Cowboys,Emmitt Smith 5 yard rush (Eddie Murray kick),0,7
1,2.0,49ers,Tom Rathman 7 yard pass from Steve Young (Mike Cofer kick),7,7
2,2.0,Cowboys,Daryl Johnston 4 yard rush (Eddie Murray kick),7,14
3,2.0,Cowboys,Emmitt Smith 11 yard pass from Troy Aikman (Eddie Murray kick),7,21
4,2.0,Cowboys,Jay Novacek 19 yard pass from Troy Aikman (Eddie Murray kick),7,28
5,3.0,49ers,Ricky Watters 4 yard rush (Mike Cofer kick),14,28
6,3.0,Cowboys,Alvin Harper 42 yard pass from Bernie Kosar (Eddie Murray kick),14,35
7,4.0,Cowboys,Eddie Murray 50 yard field goal,14,38
8,4.0,49ers,Steve Young 1 yard rush (Mike Cofer kick),21,38
