,Quarter,Tm,Detail,NWE,IND
0,1.0,Patriots,Irving Fryar 6 yard pass from Tony Eason (Tony Franklin kick),7,0
1,1.0,Colts,Randy McMillan 1 yard rush (Raul Allegre kick),7,7
2,2.0,Patriots,Tony Franklin 35 yard field goal,10,7
3,2.0,Patriots,Stanley Morgan 14 yard pass from Tony Eason (Tony Franklin kick),17,7
4,2.0,Colts,Raul Allegre 25 yard field goal,17,10
5,2.0,Colts,Randy McMillan 6 yard rush (Raul Allegre kick),17,17
6,2.0,Patriots,Craig James 4 yard rush (Tony Franklin kick),24,17
7,4.0,Patriots,Stanley Morgan 25 yard pass from Tony Eason (Tony Franklin kick),31,17
8,4.0,Colts,Randy McMillan 6 yard rush (Raul Allegre kick),31,24
9,4.0,Patriots,Mosi Tatupu 1 yard rush (Tony Franklin kick),38,24
10,4.0,Colts,Matt Bouza 10 yard pass from Mike Pagel (Raul Allegre kick),38,31
