,Quarter,Time,Tm,Detail,DET,NYG
0,1,,Lions,"Safety, Da. Brown fumbled out of end zone",2,0
1,2,,Giants,Rodney Hampton 4 yard rush (David Treadwell kick),2,7
2,2,,Giants,David Treadwell 25 yard field goal,2,10
3,2,,Lions,Herman Moore 14 yard pass from Scott Mitchell (pass failed),8,10
4,3,,Lions,Jason Hanson 31 yard field goal,11,10
5,3,,Lions,Mike Johnson 48 yard interception return (Jason Hanson kick),18,10
6,4,,Giants,Dave Meggett 56 yard punt return (Rodney Hampton run),18,18
7,4,,Lions,Herman Moore 1 yard pass from Scott Mitchell (Jason Hanson kick),25,18
8,4,,Giants,Aaron Pierce 7 yard pass from Dave Brown (David Treadwell kick),25,25
9,OT,,Lions,Jason Hanson 24 yard field goal,28,25
