,Quarter,Tm,Detail,PIT,BOS
0,1.0,Steelers,Merl Condit 18 yard rush,6,0
1,2.0,Yanks,Babe Dimancheff 26 yard pass from Paul Governali (Nick Scollard kick),6,7
2,3.0,Steelers,Bill Dudley 23 yard touchdown on a lateral (Bill Dudley kick),13,7
3,3.0,Steelers,Bob Davis 29 yard fumble return (Bill Dudley kick),20,7
4,4.0,Steelers,Bill Dudley 80 yard pass from Merl Condit (Merl Condit kick),27,7
5,4.0,Steelers,Bill Dutton 38 yard rush,33,7
