,Quarter,Tm,Detail,KAN,GNB
0,1.0,Packers,Tillie Voss unknown yard pass from Curly Lambeau (Cub Buck kick),0,7
1,3.0,Packers,Verne Lewellen unknown yard rush,0,13
2,3.0,Packers,Dutch Hendrian 30 yard field goal,0,16
