,Quarter,Tm,Detail,COL,FRN
0,1.0,Yellow Jackets,Bull Behman blocked punt recovery in end zone (Bull Behman kick),0,7
1,1.0,Yellow Jackets,Rae Crowther 20 yard pass from Hust Stockton,0,13
2,4.0,Yellow Jackets,Bull Behman 45 yard interception return,0,19
