,Quarter,Time,Tm,Detail,PIT,OAK
0,1.0,14:41,Raiders,Terrelle Pryor 93 yard rush (Sebastian Janikowski kick),0,7
1,1.0,7:28,Raiders,Darren McFadden 7 yard rush (Sebastian Janikowski kick),0,14
2,2.0,14:14,Steelers,Shaun Suisham 47 yard field goal,3,14
3,2.0,1:55,Raiders,Darren McFadden 4 yard rush (Sebastian Janikowski kick),3,21
4,4.0,12:11,Steelers,Emmanuel Sanders 9 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,21
5,4.0,1:24,Steelers,Le'Veon Bell 2 yard rush (Emmanuel Sanders run),18,21
