,Quarter,Tm,Detail,WAS,GNB
0,2.0,Packers,Gary Knafelc 11 yard pass from Bart Starr (Paul Hornung kick),0,7
1,2.0,Packers,Max McGee 10 yard pass from Bart Starr (Paul Hornung kick),0,14
2,3.0,Packers,Paul Hornung 5 yard rush (Paul Hornung kick),0,21
