,Quarter,Tm,Detail,CLE,NWE
0,1.0,Browns,Matt Bahr 22 yard field goal,3,0
1,2.0,Browns,Chip Banks 65 yard interception return (Matt Bahr kick),10,0
2,2.0,Browns,Rocky Belk 2 yard pass from Brian Sipe (Matt Bahr kick),17,0
3,2.0,Browns,Matt Bahr 20 yard field goal,20,0
4,3.0,Browns,Matt Bahr 20 yard field goal,23,0
5,4.0,Browns,Mike Pruitt 6 yard rush (Matt Bahr kick),30,0
