,Quarter,Tm,Detail,DAL,RAM
0,1.0,Rams,LeRoy Irvin 50 yard interception return (Mike Lansford kick),0,7
1,1.0,Cowboys,Timmy Newsome 5 yard rush (Rafael Septien kick),7,7
2,2.0,Rams,Mike Lansford 37 yard field goal,7,10
3,2.0,Cowboys,Rafael Septien 48 yard field goal,10,10
4,2.0,Rams,Henry Ellard 22 yard pass from Jim Everett (Mike Lansford kick),10,17
5,2.0,Rams,Mike Lansford 27 yard field goal,10,20
6,3.0,Rams,"Safety, Jeter tackled Pelluer in end zone",10,22
7,4.0,Rams,Barry Redden 41 yard rush (Mike Lansford kick),10,29
