,Quarter,Tm,Detail,CHI,DET
0,1.0,Bears,Kevin Butler 21 yard field goal,3,0
1,1.0,Bears,Brad Muster 6 yard rush (Kevin Butler kick),10,0
2,2.0,Lions,Barry Sanders 3 yard rush (Eddie Murray kick),10,7
3,2.0,Bears,Dennis McKinnon 40 yard pass from Mike Tomczak (Kevin Butler kick),17,7
4,2.0,Lions,Eddie Murray 40 yard field goal,17,10
5,2.0,Bears,Kevin Butler 22 yard field goal,20,10
6,2.0,Lions,Eddie Murray 48 yard field goal,20,13
7,3.0,Bears,Neal Anderson 53 yard rush (Kevin Butler kick),27,13
8,3.0,Lions,Bob Gagliano 1 yard rush (Eddie Murray kick),27,20
9,3.0,Bears,Kevin Butler 25 yard field goal,30,20
10,3.0,Bears,Kevin Butler 32 yard field goal,33,20
11,4.0,Bears,Brad Muster 3 yard pass from Mike Tomczak (Kevin Butler kick),40,20
12,4.0,Bears,Jim Harbaugh 1 yard rush (Kevin Butler kick),47,20
13,4.0,Lions,Bob Gagliano 1 yard rush (Eddie Murray kick),47,27
