,Quarter,Time,Tm,Detail,NYJ,BUF
0,1.0,13:13,Jets,Jay Feely 37 yard field goal,3,0
1,1.0,11:26,Bills,Derek Fine 9 yard pass from Trent Edwards (Rian Lindell kick),3,7
2,1.0,8:05,Jets,Jay Feely 26 yard field goal,6,7
3,1.0,0:00,Jets,Abram Elam 92 yard interception return (Jay Feely kick),13,7
4,3.0,8:55,Jets,Jay Feely 20 yard field goal,16,7
5,3.0,3:32,Bills,Rian Lindell 53 yard field goal,16,10
6,3.0,1:07,Jets,Thomas Jones 7 yard rush (Jay Feely kick),23,10
7,4.0,10:53,Bills,Jabari Greer 42 yard interception return (Rian Lindell kick),23,17
8,4.0,2:12,Jets,Jay Feely 31 yard field goal,26,17
