,Quarter,Time,Tm,Detail,NWE,NYJ
0,1.0,,Jets,John Hall 35 yard field goal,0,3
1,2.0,7:34,Patriots,"Safety, ODonnell penalized for intentional grounding in end zone",2,3
2,2.0,7:34,Patriots,Adam Vinatieri 24 yard field goal,5,3
3,3.0,7:34,Patriots,Ben Coates 8 yard pass from Drew Bledsoe (Adam Vinatieri kick),12,3
4,3.0,7:34,Jets,Leon Johnson 1 yard rush (John Hall kick),12,10
5,3.0,7:34,Patriots,Troy Brown 23 yard pass from Drew Bledsoe (Adam Vinatieri kick),19,10
6,3.0,7:34,Jets,Adrian Murrell 5 yard rush (John Hall kick),19,17
7,4.0,7:34,Jets,Lorenzo Neal 5 yard pass from Glenn Foley (John Hall kick),19,24
