,Quarter,Time,Tm,Detail,GNB,CIN
0,1.0,,Bengals,Doug Pelfrey 37 yard field goal,0,3
1,1.0,,Packers,Robert Brooks 16 yard pass from Brett Favre (Ryan Longwell kick),7,3
2,2.0,,Packers,Ryan Longwell 30 yard field goal,10,3
3,2.0,0:01,Bengals,Doug Pelfrey 19 yard field goal,10,6
4,4.0,0:01,Packers,Ryan Longwell 35 yard field goal,13,6
