,Quarter,Tm,Detail,NYG,DET
0,2.0,Lions,Mel Farr 2 yard rush (Errol Mann kick),0,7
1,3.0,Lions,Nick Eddy 15 yard pass from Bill Munson (Errol Mann kick),0,14
2,3.0,Lions,Errol Mann 39 yard field goal,0,17
3,4.0,Lions,Lem Barney 74 yard punt return (Errol Mann kick),0,24
