,Quarter,Tm,Detail,WAS,PIT
0,1.0,Redskins,Sam Baker 25 yard field goal,3,0
1,2.0,Redskins,Sam Baker 47 yard field goal,6,0
2,2.0,Redskins,Sam Baker 48 yard field goal,9,0
3,3.0,Redskins,Bill Anderson 70 yard pass from Ralph Guglielmi (Sam Baker kick),16,0
4,3.0,Steelers,Bobby Layne 32 yard field goal,16,3
5,3.0,Redskins,Joe Walton 26 yard pass from Ralph Guglielmi (Sam Baker kick),23,3
6,3.0,Steelers,Pete Brewster 30 yard pass from Bobby Layne (Bobby Layne kick),23,10
7,4.0,Steelers,Larry Krutko 2 yard rush (Bobby Layne kick),23,17
