,Quarter,Time,Tm,Detail,SEA,MIA
0,1.0,7:43,Dolphins,Lamar Smith 4 yard rush (Olindo Mare kick),0,7
1,1.0,1:22,Dolphins,Olindo Mare 48 yard field goal,0,10
2,2.0,13:54,Dolphins,Olindo Mare 25 yard field goal,0,13
3,2.0,10:51,Dolphins,Olindo Mare 30 yard field goal,0,16
4,2.0,0:43,Dolphins,Oronde Gadsden 16 yard pass from Jay Fiedler (Olindo Mare kick),0,23
