,Quarter,Tm,Detail,NYG,WAS
0,1.0,Redskins,Chip Lohmiller 42 yard field goal,0,3
1,2.0,Giants,Stephen Baker 80 yard pass from Phil Simms (Matt Bahr kick),7,3
2,3.0,Redskins,Chip Lohmiller 35 yard field goal,7,6
3,3.0,Giants,Ottis Anderson 5 yard rush (Matt Bahr kick),14,6
4,3.0,Redskins,Ricky Sanders 31 yard pass from Earnest Byner (Chip Lohmiller kick),14,13
5,3.0,Giants,Mark Bavaro 2 yard pass from Phil Simms (Matt Bahr kick),21,13
6,4.0,Redskins,Gerald Riggs 1 yard rush (Chip Lohmiller kick),21,20
7,4.0,Giants,Matt Bahr 19 yard field goal,24,20
