,Quarter,Tm,Detail,BCL,SFO
0,2.0,49ers,Emil Sitko 4 yard rush (Gordie Soltau kick),0,7
1,2.0,Colts,Hal Crisler 31 yard pass from Y.A. Tittle (Rex Grossman kick),7,7
2,4.0,49ers,Frankie Albert 1 yard rush (Gordie Soltau kick),7,14
3,4.0,49ers,Gordie Soltau 13 yard field goal,7,17
4,4.0,Colts,Chet Mutryn 1 yard rush (Rex Grossman kick),14,17
