,Quarter,Tm,Detail,DET,RAM
0,1.0,Lions,Garo Yepremian 23 yard field goal,3,0
1,1.0,Rams,Tommy McDonald 33 yard pass from Roman Gabriel (Bruce Gossett kick),3,7
2,2.0,Rams,Bruce Gossett 24 yard field goal,3,10
3,3.0,Rams,Bruce Gossett 15 yard field goal,3,13
4,4.0,Rams,Bruce Gossett 34 yard field goal,3,16
5,4.0,Rams,Chuck Lamson 44 yard interception return (Bruce Gossett kick),3,23
