,Quarter,Tm,Detail,HAM,CHI
0,1.0,Bears,Oscar Knop unknown yard rush (Joey Sternaman kick),0,7
1,2.0,Bears,Joey Sternaman 25 yard rush (Joey Sternaman kick),0,14
2,2.0,Bears,Buck White 9 yard rush (Joey Sternaman kick),0,21
3,2.0,Pros,Wally Hess unknown yard pass from Harry Curzon (Ed Carman kick),7,21
4,4.0,Bears,Buck White unknown yard rush (Joey Sternaman kick),7,28
