,Quarter,Tm,Detail,HOU,SEA
0,1.0,Seahawks,Sherman Smith 12 yard pass from Jim Zorn (Efren Herrera kick),0,7
1,2.0,Oilers,Mike Barber 9 yard pass from Dan Pastorini (Toni Fritsch kick),7,7
2,2.0,Seahawks,Steve Largent 45 yard pass from Jim Zorn (Efren Herrera kick),7,14
3,3.0,Seahawks,Efren Herrera 48 yard field goal,7,17
4,3.0,Seahawks,Efren Herrera 30 yard field goal,7,20
5,4.0,Seahawks,Steve Largent 55 yard pass from Jim Zorn (Efren Herrera kick),7,27
6,4.0,Seahawks,Cornell Webster 54 yard defensive fumble return (Efren Herrera kick),7,34
7,4.0,Oilers,Ronnie Coleman 6 yard pass from Dan Pastorini (Toni Fritsch kick),14,34
