,Quarter,Time,Tm,Detail,ATL,STL
0,1.0,,Rams,Isaac Bruce 59 yard pass from Chris Miller (Steve McLaughlin kick),0,7
1,2.0,,Rams,Johnny Bailey 12 yard rush (Steve McLaughlin kick),0,14
2,2.0,,Falcons,Kevin Ross 83 yard blocked field goal return (Morten Andersen kick),7,14
3,2.0,,Rams,Isaac Bruce 9 yard pass from Chris Miller (Steve McLaughlin kick),7,21
4,2.0,,Falcons,Tony Zendejas 40 yard field goal,10,21
5,3.0,,Falcons,Eric Metcalf 66 yard punt return (pass failed),16,21
6,4.0,,Falcons,Tony Zendejas 45 yard field goal,19,21
