,Quarter,Tm,Detail,KAN,CLE
0,2.0,Chiefs,Nick Lowery 38 yard field goal,3,0
1,2.0,Chiefs,Nick Lowery 22 yard field goal,6,0
2,2.0,Browns,Charles White 2 yard rush (Don Cockroft kick),6,7
3,3.0,Browns,Keith Wright 12 yard pass from Brian Sipe,6,13
4,3.0,Chiefs,Tony Samuels 16 yard pass from Steve Fuller (Nick Lowery kick),13,13
5,3.0,Browns,Charles White 31 yard pass from Brian Sipe (Don Cockroft kick),13,20
