,Quarter,Tm,Detail,GNB,DAL
0,1.0,Packers,Dale Livingston 19 yard field goal,3,0
1,2.0,Cowboys,Mike Clark 21 yard field goal,3,3
2,4.0,Cowboys,Mike Clark 12 yard field goal,3,6
3,4.0,Cowboys,Mike Clark 15 yard field goal,3,9
4,4.0,Cowboys,Bob Hayes 13 yard rush (Mike Clark kick),3,16
