,Quarter,Tm,Detail,DAL,CLE
0,1.0,Browns,Jim Brown 10 yard rush (Lou Groza kick),0,7
1,1.0,Browns,Lou Groza 48 yard field goal,0,10
2,2.0,Browns,Walter Roberts 29 yard pass from Frank Ryan (Lou Groza kick),0,17
3,2.0,Cowboys,Danny Villanueva 16 yard field goal,3,17
4,2.0,Cowboys,Pettis Norman 5 yard pass from Don Meredith (Danny Villanueva kick),10,17
5,3.0,Browns,Lou Groza 16 yard field goal,10,20
6,3.0,Browns,Lou Groza 19 yard field goal,10,23
7,4.0,Cowboys,Pete Gent 20 yard pass from Don Meredith (Danny Villanueva kick),17,23
