,Quarter,Tm,Detail,NYG,TAM
0,1.0,Giants,Ali Haji-Sheikh 41 yard field goal,3,0
1,2.0,Buccaneers,Obed Ariri 37 yard field goal,3,3
2,3.0,Giants,Zeke Mowatt 23 yard pass from Phil Simms (Ali Haji-Sheikh kick),10,3
3,3.0,Buccaneers,Kevin House 10 yard pass from Steve DeBerg (Obed Ariri kick),10,10
4,4.0,Buccaneers,James Wilder 1 yard rush (Obed Ariri kick),10,17
5,4.0,Buccaneers,Obed Ariri 20 yard field goal,10,20
6,4.0,Giants,Bobby Johnson 11 yard pass from Phil Simms (Ali Haji-Sheikh kick),17,20
