,Quarter,Tm,Detail,CHI,MIN
0,1.0,Bears,Kevin Butler 23 yard field goal,3,0
1,2.0,Bears,Willie Gault 42 yard pass from Jim McMahon (Kevin Butler kick),10,0
2,2.0,Bears,Kevin Butler 26 yard field goal,13,0
3,2.0,Vikings,Allen Rice 1 yard pass from Wade Wilson (Chuck Nelson kick),13,7
4,3.0,Bears,Willie Gault 16 yard pass from Jim McMahon (Kevin Butler kick),20,7
5,3.0,Vikings,Anthony Carter 60 yard pass from Wade Wilson (Chuck Nelson kick),20,14
6,3.0,Vikings,Anthony Carter 35 yard pass from Wade Wilson (Chuck Nelson kick),20,21
7,4.0,Vikings,Chuck Nelson 27 yard field goal,20,24
8,4.0,Bears,Kevin Butler 30 yard field goal,23,24
9,4.0,Bears,Dennis Gentry 38 yard pass from Mike Tomczak (Kevin Butler kick),30,24
