,Quarter,Tm,Detail,PHO,RAM
0,1.0,Rams,Greg Bell 5 yard rush (Mike Lansford kick),0,7
1,1.0,Cardinals,Roy Green 33 yard pass from Neil Lomax (Al Del Greco kick),7,7
2,1.0,Cardinals,Al Del Greco 43 yard field goal,10,7
3,2.0,Rams,Greg Bell 4 yard rush (Mike Lansford kick),10,14
4,2.0,Cardinals,Jay Novacek 8 yard pass from Neil Lomax (Al Del Greco kick),17,14
5,2.0,Cardinals,Rod Saddler 16 yard defensive fumble return (Al Del Greco kick),24,14
6,3.0,Cardinals,Al Del Greco 51 yard field goal,27,14
7,3.0,Rams,Damone Johnson 9 yard pass from Jim Everett,27,20
8,4.0,Cardinals,Earl Ferrell 7 yard rush (Al Del Greco kick),34,20
9,4.0,Cardinals,Stump Mitchell 35 yard rush (Al Del Greco kick),41,20
10,4.0,Rams,Greg Bell 1 yard rush (Mike Lansford kick),41,27
