,Quarter,Tm,Detail,CLE,HOU
0,1.0,Oilers,Mike Renfro 8 yard pass from Gifford Nielsen (Florian Kempf kick),0,7
1,2.0,Browns,Matt Bahr 18 yard field goal,3,7
2,2.0,Browns,Dave Logan 56 yard pass from Paul McDonald (Matt Bahr kick),10,7
3,3.0,Oilers,Donnie Craft 3 yard rush (Florian Kempf kick),10,14
4,4.0,Browns,Matt Bahr 24 yard field goal,13,14
5,4.0,Browns,Charles White 1 yard rush (Matt Bahr kick),20,14
