,Quarter,Tm,Detail,WAS,STL
0,1.0,Redskins,Larry Brown 1 yard rush (Curt Knight kick),7,0
1,2.0,Cardinals,Jackie Smith 8 yard pass from Jim Hart (Jim Bakken kick),7,7
2,2.0,Cardinals,Jim Bakken 25 yard field goal,7,10
3,3.0,Redskins,Chris Hanburger 16 yard defensive fumble return (Curt Knight kick),14,10
4,3.0,Redskins,Jerry Smith 31 yard pass from Billy Kilmer (Curt Knight kick),21,10
5,4.0,Cardinals,Jackie Smith 9 yard pass from Pete Beathard (Jim Bakken kick),21,17
6,4.0,Redskins,Curt Knight 25 yard field goal,24,17
