,Quarter,Time,Tm,Detail,CLE,BAL
0,2.0,14:52,Browns,Jerome Harrison 19 yard pass from Derek Anderson (Phil Dawson kick),7,0
1,2.0,6:40,Ravens,Willis McGahee 5 yard rush (Matt Stover kick),7,7
2,2.0,1:04,Browns,Phil Dawson 38 yard field goal,10,7
3,3.0,11:13,Ravens,Le'Ron McClain 1 yard rush (Matt Stover kick),10,14
4,3.0,10:23,Ravens,Ed Reed 32 yard interception return (Matt Stover kick),10,21
5,3.0,4:49,Ravens,Le'Ron McClain 1 yard rush (Matt Stover kick),10,28
