,Quarter,Tm,Detail,CLE,ATL
0,1.0,Falcons,Fred Steinfort 24 yard field goal,0,3
1,2.0,Browns,Don Cockroft 43 yard field goal,3,3
2,2.0,Browns,Ozzie Newsome 2 yard pass from Brian Sipe (Don Cockroft kick),10,3
3,2.0,Falcons,Haskel Stanback 15 yard rush (Fred Steinfort kick),10,10
4,2.0,Browns,Reggie Rucker 27 yard pass from Brian Sipe (Don Cockroft kick),17,10
5,4.0,Falcons,Ray Strong 2 yard rush,17,16
6,4.0,Browns,Brian Sipe 2 yard rush (Don Cockroft kick),24,16
