,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Bills,O.J. Simpson 2 yard rush (John Leypoldt kick),0,7
1,1.0,Bills,Jim Braxton 3 yard pass from Joe Ferguson (John Leypoldt kick),0,14
2,1.0,Jets,Rich Caster 28 yard pass from Joe Namath (Pat Leahy kick),7,14
3,2.0,Bills,O.J. Simpson 5 yard rush (John Leypoldt kick),7,21
4,2.0,Jets,Eddie Bell 12 yard pass from Joe Namath (Pat Leahy kick),14,21
5,3.0,Bills,Paul Seymour 2 yard pass from Joe Ferguson (John Leypoldt kick),14,28
6,3.0,Bills,Joe Ferguson 1 yard rush (John Leypoldt kick),14,35
7,4.0,Bills,Pat Toomay 44 yard interception return (John Leypoldt kick),14,42
