,Quarter,Tm,Detail,BUF,BAL
0,1.0,Bills,Joe Cribbs 33 yard pass from Joe Ferguson (Nick Mike-Mayer kick),7,0
1,2.0,Colts,Mike Wood 22 yard field goal,7,3
2,2.0,Bills,Jerry Butler 54 yard pass from Joe Ferguson (Nick Mike-Mayer kick),14,3
3,2.0,Bills,Mark Brammer 5 yard pass from Joe Ferguson (Nick Mike-Mayer kick),21,3
4,3.0,Bills,Buster Barnett 3 yard pass from Joe Ferguson (Nick Mike-Mayer kick),28,3
5,4.0,Bills,Roland Hooks 5 yard rush (Nick Mike-Mayer kick),35,3
