,Quarter,Tm,Detail,PRT,FRN
0,3,Spartans,Glenn Presnell 30 yard rush (Glenn Presnell kick),7,0
1,4,Spartans,Tony Holm 2 yard rush (Glenn Presnell kick),14,0
