,Quarter,Tm,Detail,CHI,DAL
0,1.0,Cowboys,Efren Herrera 22 yard field goal,0,3
1,2.0,Cowboys,Roger Staubach 4 yard rush (Efren Herrera kick),0,10
2,2.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),7,10
3,2.0,Cowboys,Drew Pearson 4 yard pass from Roger Staubach (Efren Herrera kick),7,17
4,3.0,Cowboys,Preston Pearson 15 yard pass from Danny White (Efren Herrera kick),7,24
5,3.0,Bears,Mike Hartenstine 37 yard interception return (Bob Thomas kick),14,24
6,3.0,Bears,Johnny Musso 2 yard rush (Bob Thomas kick),21,24
7,4.0,Cowboys,Preston Pearson 6 yard pass from Danny White (Efren Herrera kick),21,31
