,Quarter,Time,Tm,Detail,PIT,TEN
0,1.0,9:28,Titans,Steve McNair 2 yard rush (Al Del Greco kick),0,7
1,1.0,5:47,Steelers,Troy Edwards 15 yard pass from Kordell Stewart (Kris Brown kick),7,7
2,1.0,0:00,Titans,Steve McNair 3 yard rush (Al Del Greco kick),7,14
3,3.0,7:50,Titans,"Safety, Stewart penalized for intentional grounding in end zone",7,16
4,4.0,6:55,Steelers,Kris Brown 24 yard field goal,10,16
