,Quarter,Tm,Detail,WAS,SFO
0,2.0,49ers,Clifton McNeil 16 yard pass from John Brodie (Tommy Davis kick),0,7
1,3.0,Redskins,Curt Knight 9 yard field goal,3,7
2,3.0,49ers,Tommy Davis 17 yard field goal,3,10
3,4.0,Redskins,Charlie Harraway 3 yard rush (Curt Knight kick),10,10
4,4.0,49ers,Doug Cunningham 17 yard rush (Tommy Davis kick),10,17
5,4.0,Redskins,Jerry Smith 3 yard pass from Sonny Jurgensen (Curt Knight kick),17,17
