,Quarter,Tm,Detail,DET,NYG
0,1,Giants,Tillie Manton 28 yard pass from Tuffy Leemans (Tillie Manton kick),0,7
1,3,Giants,Dale Burnett 32 yard pass from Ed Danowski (Tillie Manton kick),0,14
2,4,Lions,Ace Gutowsky 1 yard rush (Dutch Clark kick),7,14
