,Quarter,Time,Tm,Detail,ARI,ATL
0,1.0,10:33,Falcons,Roddy White 7 yard pass from Matt Ryan (Matt Bryant kick),0,7
1,2.0,13:06,Falcons,Matt Bryant 24 yard field goal,0,10
2,2.0,12:54,Cardinals,Tim Hightower 80 yard rush (Jay Feely kick),7,10
3,2.0,9:18,Falcons,Jason Snelling 19 yard pass from Matt Ryan (Matt Bryant kick),7,17
4,2.0,3:31,Falcons,Jason Snelling 1 yard rush (Matt Bryant kick),7,24
5,3.0,13:18,Falcons,Brian Finneran 12 yard pass from Matt Ryan (Matt Bryant kick),7,31
6,3.0,3:57,Falcons,Matt Bryant 35 yard field goal,7,34
7,4.0,3:05,Falcons,Jason Snelling 7 yard rush (Matt Bryant kick),7,41
